x	CH1	Source	CH1_
3.28E-07	0.568	-3.36E-05	-0.02
3.30E-07	0.56	-3.35E-05	-0.02
3.32E-07	0.56	-3.35E-05	-0.02
3.34E-07	0.56	-3.35E-05	0
3.36E-07	0.568	-3.35E-05	-0.02
3.38E-07	0.568	-3.35E-05	-0.02
3.40E-07	0.568	-3.35E-05	-0.02
3.42E-07	0.56	-3.35E-05	-0.02
3.44E-07	0.56	-3.35E-05	-0.02
3.46E-07	0.56	-3.35E-05	-0.02
3.48E-07	0.56	-3.35E-05	0
3.50E-07	0.56	-3.34E-05	-0.02
3.52E-07	0.56	-3.34E-05	-0.02
3.54E-07	0.568	-3.34E-05	0
3.56E-07	0.568	-3.34E-05	-0.02
3.58E-07	0.56	-3.34E-05	-0.02
3.60E-07	0.56	-3.34E-05	-0.02
3.62E-07	0.56	-3.34E-05	0
3.64E-07	0.568	-3.34E-05	-0.02
3.66E-07	0.568	-3.34E-05	-0.02
3.68E-07	0.568	-3.34E-05	-0.02
3.70E-07	0.56	-3.33E-05	0
3.72E-07	0.56	-3.33E-05	-0.02
3.74E-07	0.56	-3.33E-05	-0.02
3.76E-07	0.568	-3.33E-05	-0.02
3.78E-07	0.568	-3.33E-05	-0.02
3.80E-07	0.56	-3.33E-05	0
3.82E-07	0.56	-3.33E-05	-0.02
3.84E-07	0.56	-3.33E-05	-0.02
